form	lemmaId	lemma	linkType	pos	via	note
aachummey	aachummey.np	Aachummey	self	np. other	Aachummey	
aah	aah.np	Aah	self	np. other	Aah	
aarnyn	aarnyn.np	Aarnyn	self	np. ethnonym	Aarnyn	
aaron	aaron.np	Aaron	self	np. personal	Aaron	
aaue	aaue.n	Aaue	self	np. personal	Aaue	
abba	abba.np	Abba	self	np. other	Abba	
abdiel	abdiel.np	Abdiel	self	np. other	Abdiel	
abdon	abdon.np	Abdon	self	np. personal	Abdon	
abed nego	abed-nego.np	Abed-Nego	self	np. other	Abed-Nego	
abednego	abed-nego.np	Abed-Nego	self	np. other	Abed-Nego	collapsed
abel	abel.np	Abel	self	np. personal	Abel	
aberystwyth	aberystwyth.np	Aberystwyth	self	np. other	Aberystwyth	
abia	abia.np	Abia	self	np. other	Abia	
abiathar	abiathar.np	Abiathar	self	np. personal	Abiathar	
abib	abib.np	Abib	self	np. other	Abib	
abidan	abidan.np	Abidan	self	np. other	Abidan	
abiezer	abiezer.np	Abiezer	self	np. other	Abiezer	
abigail	abigail.np	Abigail	self	np. personal	Abigail	
abihail	abihail.np	Abihail	self	np. other	Abihail	
abihu	abihu.np	Abihu	self	np. personal	Abihu	
abijah	abijah.np	Abijah	self	np. personal	Abijah	
abijam	abijam.np	Abijam	self	np. other	Abijam	
abimelech	abimelech.np	Abimelech	self	np. personal	Abimelech	
abinadab	abinadab.np	Abinadab	self	np. other	Abinadab	
abiram	abiram.np	Abiram	self	np. other	Abiram	
abishag	abishag.np	Abishag	self	np. personal	Abishag	
abishai	abishai.np	Abishai	self	np. personal	Abishai	
abishua	abishua.np	Abishua	self	np. other	Abishua	
abiud	abiud.np	Abiud	self	np. other	Abiud	
abner	abner.np	Abner	self	np. personal	Abner	
abraham	abraham.np	Abraham	self	np. personal	Abraham	
abram	abram.np	Abram	self	np. personal	Abram	
absalom	absalom.np	Absalom	self	np. personal	Absalom	
achaia	achaia.np	Achaia	self	np. other	Achaia	
achan	achan.np	Achan	self	np. personal	Achan	
achaz	achaz.np	Achaz	self	np. other	Achaz	
achbor	achbor.np	Achbor	self	np. other	Achbor	
achiacharus	achiacharus.np	Achiacharus	self	np. other	Achiacharus	
achim	achim.np	Achim	self	np. other	Achim	
achior	achior.np	Achior	self	np. other	Achior	
achish	achish.np	Achish	self	np. personal	Achish	
achor	achor.np	Achor	self	np. other	Achor	
achsah	achsah.np	Achsah	self	np. other	Achsah	
adah	adah.np	Adah	self	np. other	Adah	
adaiah	adaiah.np	Adaiah	self	np. other	Adaiah	
adam	adam.np	Adam	self	np. personal	Adam	
adams	adams.np	Adams	self	np. other	Adams	
adar	adar.np	Adar	self	np. other	Adar	
admah	admah.np	Admah	self	np. other	Admah	
adonijah	adonijah.np	Adonijah	self	np. personal	Adonijah	
adrian	adrian.np	Adrian	self	np. other	Adrian	
adullam	adullam.np	Adullam	self	np. other	Adullam	
africkey	africkey.np	Africkey	self	np. place	Africkey	
agag	agag.np	Agag	self	np. personal	Agag	
agagite	agagite.np	Agagite	self	np. other	Agagite	
agrippa	agrippa.np	Agrippa	self	np. personal	Agrippa	
ahab	ahab.np	Ahab	self	np. personal	Ahab	
ahasuerus	ahasuerus.np	Ahasuerus	self	np. personal	Ahasuerus	
ahaz	ahaz.np	Ahaz	self	np. personal	Ahaz	
ahaziah	ahaziah.np	Ahaziah	self	np. personal	Ahaziah	
ahiezer	ahiezer.np	Ahiezer	self	np. other	Ahiezer	
ahijah	ahijah.np	Ahijah	self	np. personal	Ahijah	
ahikam	ahikam.np	Ahikam	self	np. personal	Ahikam	
ahilud	ahilud.np	Ahilud	self	np. other	Ahilud	
ahimaaz	ahimaaz.np	Ahimaaz	self	np. other	Ahimaaz	
ahimelech	ahimelech.np	Ahimelech	self	np. personal	Ahimelech	
ahinoam	ahinoam.np	Ahinoam	self	np. other	Ahinoam	
ahio	ahio.np	Ahio	self	np. other	Ahio	
ahira	ahira.np	Ahira	self	np. other	Ahira	
ahitophel	ahitophel.np	Ahitophel	self	np. personal	Ahitophel	
ahitub	ahitub.np	Ahitub	self	np. other	Ahitub	
ahohite	ahohite.np	Ahohite	self	np. other	Ahohite	
aholah	aholah.np	Aholah	self	np. other	Aholah	
aholiab	aholiab.np	Aholiab	self	np. personal	Aholiab	
aholibah	aholibah.np	Aholibah	self	np. other	Aholibah	
aholibamah	aholibamah.np	Aholibamah	self	np. other	Aholibamah	
ai	ai.np	Ai	self	np. place	Ai	
aiah	aiah.np	Aiah	self	np. other	Aiah	
aijalon	aijalon.np	Aijalon	self	np. other	Aijalon	
aine	aine.np	Aine	self	np. other	Aine	
airney	airney.np	Airney	self	np. other	Airney	
aitkin	aitkin.np	Aitkin	self	np. other	Aitkin	
akkub	akkub.np	Akkub	self	np. other	Akkub	
alan	alan.np	Alan	self	np. other	Alan	
albanee	albanee.np	Albanee	self	np. ethnonym	Albanee	
albert	albert.np	Albert	self	np. other	Albert	
albinish	albinish.np	Albinish	self	np. language	Albinish	
alex	alex.np	Alex	self	np. other	Alex	
alexander	alexander.np	Alexander	self	np. other	Alexander	
alexandria	alexandria.np	Alexandria	self	np. other	Alexandria	
alleluia	alleluia.np	Alleluia	self	np. other	Alleluia	
alpheus	alpheus.np	Alpheus	self	np. other	Alpheus	
amalek	amalek.np	Amalek	self	np. personal	Amalek	
amalekite	amalekite.np	Amalekite	self	np. ethnonym	Amalekite	
amalekiteyn	amalekite.np	Amalekite	inflected	np. ethnonym	Amalekite	
amariah	amariah.np	Amariah	self	np. other	Amariah	
amasa	amasa.np	Amasa	self	np. personal	Amasa	
amaziah	amaziah.np	Amaziah	self	np. personal	Amaziah	
ambrose	ambrose.np	Ambrose	self	np. other	Ambrose	
america	america.np	America	self	np. place	America	
americaanagh	americaanagh.np	Americaanagh	self	np. ethnonym	Americaanagh	
americaanee	americaanee.np	Americaanee	self	np. ethnonym	Americaanee	
americanagh	americanagh.np	Americanagh	self	np. ethnonym	Americanagh	
americanee	americanee.np	Americanee	self	np. ethnonym	Americanee	
aminadab	aminadab.np	Aminadab	self	np. other	Aminadab	
ammiel	ammiel.np	Ammiel	self	np. other	Ammiel	
ammihud	ammihud.np	Ammihud	self	np. other	Ammihud	
amminadab	amminadab.np	Amminadab	self	np. other	Amminadab	
ammon	ammon.np	Ammon	self	np. place	Ammon	
ammonite	ammonite.np	Ammonite	self	np. ethnonym	Ammonite	
ammoniteyn	ammonite.np	Ammonite	inflected	np. ethnonym	Ammonite	
amnon	amnon.np	Amnon	self	np. personal	Amnon	
amon	amon.np	Amon	self	np. personal	Amon	
amorite	amorite.np	Amorite	self	np. ethnonym	Amorite	
amoriteyn	amorite.np	Amorite	inflected	np. ethnonym	Amorite	
amos	amos.np	Amos	self	np. other	Amos	
amoz	amoz.np	Amoz	self	np. other	Amoz	
amram	amram.np	Amram	self	np. other	Amram	
anah	anah.np	Anah	self	np. other	Anah	
anak	anak.np	Anak	self	np. other	Anak	
ananias	ananias.np	Ananias	self	np. personal	Ananias	
anathoth	anathoth.np	Anathoth	self	np. place	Anathoth	
andorra	andorra.np	Andorra	self	np. place	Andorra	
anglesey	anglesey.np	Anglesey	self	np. place	Anglesey	
anglo hostnee	anglo-hostnee.np	Anglo-Hostnee	self	np. ethnonym	Anglo-Hostnee	
anglohostnee	anglo-hostnee.np	Anglo-Hostnee	self	np. ethnonym	Anglo-Hostnee	collapsed
anna	anna.np	Anna	self	np. other	Anna	
annas	annas.np	Annas	self	np. other	Annas	
anne	anne.np	Anne	self	np. other	Anne	
annie	annie.np	Annie	self	np. other	Annie	
antioch	antioch.np	Antioch	self	np. place	Antioch	
antonia	antonia.np	Antonia	self	np. other	Antonia	
aphek	aphek.np	Aphek	self	np. other	Aphek	
