form	lemmaId	lemma	linkType	pos	via	note
aeraghyn	ayr.n	ayr	phillips	s. m.	ayraghyn	phillips-1610;questionable
ag	agh.x	agh	phillips	conj.	agh	phillips-1610;questionable
agayr	aggair.n	aggair	phillips	s. m.	aggair	phillips-1610;questionable
aghsan	oghsan.n	oghsan	phillips	s. f.	oghsan	phillips-1610;questionable
agid	aegid.n	aegid	phillips	s. m.	aegid	phillips-1610;questionable
agil	aggle.n	aggle	phillips	s. m.	aggle	phillips-1610;questionable
aglagh	agglagh.a	agglagh	phillips	a.	agglagh	phillips-1610;questionable
agney	aigney.n	aigney	phillips	s. f.	aigney	phillips-1610;questionable
agy	aegey.a	aegey	phillips	a. pl.	aegey	phillips-1610;questionable
agyl	aggle.n	aggle	phillips	s. m.	aggle	phillips-1610
akan	accan.n	accan	phillips	s. m.	accan	phillips-1610;questionable
anwn	annoon.a	annoon	phillips	a.	annoon	phillips-1610;questionable
aragh	arragh.a	arragh	phillips	a.	arragh	phillips-1610;questionable
aragh	arragh.n	arragh	phillips	s. f.	arragh	phillips-1610;questionable
aran	arran.n	arran	phillips	s. m.	arran	phillips-1610;questionable
are	arrey.n	arrey	phillips	s. m.	arrey	phillips-1610;questionable
argyd	argid.n	argid	phillips	s. m.	argid	phillips-1610;questionable
arkey	faarkey.v	faarkey	phillips	v.	aarkey	phillips-1610;questionable
arkey	n'aarkey.v	n'aarkey	phillips	v.	aarkey	phillips-1610;questionable
arkey	aarkey.n	aarkey	phillips	s.	aarkey	phillips-1610;questionable
arlw	aarloo.a	aarloo	phillips	a.	aarloo	phillips-1610;questionable
asygh	n'aas.v	n'aas	phillips	v.	aasagh	phillips-1610;questionable
asygh	faasagh.n	faasagh	phillips	s.	aasagh	phillips-1610;questionable
asyght	n'aas.v	n'aas	phillips	v.	aasagh	phillips-1610;questionable
asyght	faasagh.n	faasagh	phillips	s.	aasagh	phillips-1610;questionable
ayg	aeg.a	aeg	phillips	a.	aeg	phillips-1610;questionable
ayndw	ayn-doo.x	ayn-doo	phillips	p. p.	ayndoo	phillips-1610;questionable
aynsho	ayns.x	ayns	phillips	pre.	ayns	phillips-1610;questionable
ayrd	ard.n	ard	phillips	s. m.	ard	phillips-1610
ayrd	ard.a	ard	phillips	a.	ard	phillips-1610
aysygh	n'aas.v	n'aas	phillips	v.	aasagh	phillips-1610;questionable
aysygh	faasagh.n	faasagh	phillips	s.	aasagh	phillips-1610;questionable
aysyght	n'aas.v	n'aas	phillips	v.	aasagh	phillips-1610;questionable
aysyght	faasagh.n	faasagh	phillips	s.	aasagh	phillips-1610;questionable
baas	baase.n	baase	phillips	s. m.	baase	phillips-1610;questionable
banaght	bannaght.n	bannaght	phillips	s. m.	bannaght	phillips-1610;questionable
baniit	bannit.x	bannit	phillips	pt.	bannit	phillips-1610
banniit	bannit.x	bannit	phillips	pt.	bannit	phillips-1610;questionable
begg	beg.a	beg	phillips	a.	beg	phillips-1610;questionable
bilchyn	billey.n	billey	phillips	s. m.	biljyn	phillips-1610;questionable
bille	billey.n	billey	phillips	s. m.	billey	phillips-1610;questionable
bleyn	blein.n	blein	phillips	s. f.	blein	phillips-1610;questionable
boge	boggey.n	boggey	phillips	s. m.	boggey	phillips-1610;questionable
bogey	boggey.n	boggey	phillips	s. m.	boggey	phillips-1610
brishie	brishey.v	brishey	phillips	v.	brishey	phillips-1610;questionable
brishie	brishey.n	brishey	phillips	s. m.	brishey	phillips-1610;questionable
brist	brisht.x	brisht	phillips		brisht	phillips-1610;questionable
bwias	booise.n	booise	phillips	s. m.	booise	phillips-1610
bwiasoil	booisal.a	booisal	phillips	a.	booisal	phillips-1610;questionable
chew	cheu.n	çheu	phillips	s. f.	cheu	phillips-1610;questionable
cheyf	cheu.n	çheu	phillips	s. f.	cheu	phillips-1610;questionable
chiange	chengey.n	çhengey	phillips	s. f.	chengey	phillips-1610;questionable
chiit	cheet.v	çheet	phillips	v.	cheet	phillips-1610
chiw	chiu.a	çhiu	phillips	a.	chiu	phillips-1610;questionable
chiw	chiu.v	çhiu	phillips	v.	chiu	phillips-1610;questionable
chiw	chiu.n	çhiu	phillips	s. m.	chiu	phillips-1610;questionable
