headword	reason	detail
e haal	ambiguous-ids	pos [Noun] ids [haal.n, taal.n]: her fork
e haase	ambiguous-ids	pos [Noun] ids [aase.n, saase.n]: her growth
e harroo	ambiguous-ids	pos [Noun] ids [arroo.n, tarroo.n]: her corn
e hayrey	ambiguous-ids	pos [Adjective] ids [ayrey.a, shayrey.a]: of her father or fathers
e vaaish	ambiguous-ids	pos [Noun] ids [vaaish.n, maaish.n]: his visage or face
nyn maase	ambiguous-ids	pos [Noun] ids [maase.n, baase.n]: your, &c. visage
e vaase	ambiguous-ids	pos [Noun] ids [baase.n, maase.n]: his death
nyn maase	ambiguous-ids	pos [Noun] ids [maase.n, baase.n]: your, &c. death
e vaaish	ambiguous-ids	pos [Noun] ids [vaaish.n, maaish.n]: of his death
yn veinn	ambiguous-ids	pos [Noun] ids [beinn.n, meinn.n]: the pinnacle
verr	ambiguous-ids	pos [Verb] ids [berr.v, verr.v]: did overtake or overtook;
e vhow	ambiguous-ids	pos [Noun] ids [mhow.n, bhow.n]: his bow to shoot with
e vhow	ambiguous-ids	pos [Noun] ids [mhow.n, bhow.n]: his prow
yn vinnid	ambiguous-ids	pos [Noun] ids [binnid.n, minnid.n]: the rennet
yn volg	ambiguous-ids	pos [Noun] ids [bolg.n, molg.n]: the belly
ro vollagh	ambiguous-ids	pos [Adjective] ids [bollagh.a, mollagh.a]: too bare or too barely brought or gathered., This and preceding word, [ro vollagh, a. too rough] though spelled alike, are nearly in direct opposition
yn voult	ambiguous-ids	pos [Noun] ids [boult.n, voult.n]: the bolt
breeockle	ambiguous-ids	pos [Noun] ids [breeockle.n, bree-ockle.n]: a vowel
nyn garr	ambiguous-ids	pos [Noun] ids [carr.n, garr.n]: your, &c. twist or turn
nyn garr	ambiguous-ids	pos [Noun] ids [carr.n, garr.n]: your, &c. tune
e hennid	ambiguous-ids	pos [Noun] ids [chennid.n, shennid.n]: his straitness, tightness, distress.
corockle	ambiguous-ids	pos [Noun] ids [corockle.n, cor-ockle.n]: a consonant;
deam	ambiguous-ids	pos [Verb] ids [deam.v, eam.v]: project or jut;
ro ghoan	ambiguous-ids	pos [Adjective] ids [dhoan.a, ghoan.a]: too brown
doll	ambiguous-ids	pos [Verb] ids [doll.v, foll.v]: blot, deface, erase;
e ghriaght	ambiguous-ids	pos [Noun] ids [driaght.n, ghriaght.n]: his chain;
e ghrine	ambiguous-ids	pos [Noun] ids [drine.n, ghrine.n]: his thorn tree;
ro ghrineagh	ambiguous-ids	pos [Noun] ids [drineagh.n, ghrineagh.n]: too thorny
deam	ambiguous-ids	pos [Verb] ids [deam.v, eam.v]: did cry out.
e hellan	ambiguous-ids	pos [Noun] ids [ellan.n, shellan.n]: her island
er varkiaghey	ambiguous-ids	pos [Verb] ids [farkiaghey.v, markiaghey.v]: hath, &c. waited
folaue	ambiguous-ids	pos [Noun] ids [folaue.n, fo-laue.n]: a note of hand, a promissory note, a certificate or receipt under a person's hand, or from his hand;
doll	ambiguous-ids	pos [Verb] ids [doll.v, foll.v]: did hide, hid or concealed
ro ghoan	ambiguous-ids	pos [Adjective] ids [dhoan.a, ghoan.a]: too scarce
e ghriaght	ambiguous-ids	pos [Noun] ids [driaght.n, ghriaght.n]: his group, or drove;
e ghrine	ambiguous-ids	pos [Noun] ids [drine.n, ghrine.n]: his grain;
ro ghrineagh	ambiguous-ids	pos [Noun] ids [drineagh.n, ghrineagh.n]: too grainy
MacImshee	ambiguous-ids	pos [Noun] ids [macimshee.n, mac-imshee.n]: the son of discord or false peace
eaghcheoy	ambiguous-ids	pos [Noun] ids [eagh-cheoy.n, eaghcheoy.n]: sciatic, rheumatism [lit. ‘mad horse’]
cherr	ambiguous-ids	pos [Verb] ids [cherr.v, kerr.v]: did punish;
mackewyl	ambiguous-ids	pos [Noun] ids [mackewyl.n, mac-kewyl.n]: a kelson or keelson.
chionn	ambiguous-ids	pos [Verb] ids [chionn.v, chionn.a, kionn.v]: did buy, bought
coloayrt	ambiguous-ids	pos [Verb] ids [co-loayrt.v, coloayrt.v]: conversing;
coloayrtagh	ambiguous-ids	pos [Noun] ids [co-loayrtagh.n, coloayrtagh.n]: converser;
coloayrtys	ambiguous-ids	pos [Noun] ids [co-loayrtys.n, coloayrtys.n]: conversation;
e vaase	ambiguous-ids	pos [Noun] ids [baase.n, maase.n]: his cattle or kine
e vaaish	ambiguous-ids	pos [Noun] ids [vaaish.n, maaish.n]: of his cattle., See Exod. xiii. 12, where the word is in its radical state:
er varkiaghey	ambiguous-ids	pos [Verb] ids [farkiaghey.v, markiaghey.v]: [hath, &c.] rode or ridden
yn veinn	ambiguous-ids	pos [Noun] ids [beinn.n, meinn.n]: the meal
yn vinnid	ambiguous-ids	pos [Noun] ids [binnid.n, minnid.n]: the minute
yn voult	ambiguous-ids	pos [Noun] ids [boult.n, voult.n]: the mutton
yn volg	ambiguous-ids	pos [Noun] ids [bolg.n, molg.n]: the milt
ro vollagh	ambiguous-ids	pos [Adjective] ids [bollagh.a, mollagh.a]: too rough
mooireerey	ambiguous-ids	pos [Noun] ids [mooir-eerey.n, mooireerey.n, mooireerey.x]: a billow; billows, the rising of the sea by wind, the motion made on standing corn by wind
mooirjeenagh	ambiguous-ids	pos [Adjective] ids [mooir-jeenagh.a, mooirjeenagh.a]: murky, dark, gloomy, of a sea colour, cloudy, looking for rain, watery
myrragh	ambiguous-ids	pos [Adverb] ids [myr-ragh.x, myrragh.x]: as like, as would, as were
e hobbyr	ambiguous-ids	pos [Noun] ids [obbyr.n, tobbyr.n]: her work
e hoor	ambiguous-ids	pos [Noun] ids [oor.n, toor.n]: her hour
