senseId	lemmaId	dict	entryPath	gloss
aarey.n#1	aarey.n	cregeen	cregeen:aarey	a kidney
aarey.n#2	aarey.n	cregeen	cregeen:aarey	a ladder
aggindys.n#1	aggindys.n	cregeen	cregeen:aggindys	fondness, eagerness, eager desire
aggindys.n#2	aggindys.n	cregeen	cregeen:e haggindys	her willingness
agh.x#1	agh.x	cregeen	cregeen:agh	but
agh.x#2	agh.x	cregeen	cregeen:agh	-ing, -ly, -ous, &c., when used as a postfix in composition means
saill.v#1	saill.v	cregeen	cregeen:cha naill	not wish
saill.v#2	saill.v	cregeen	cregeen:saill	salt;
aittys.n#1	aittys.n	cregeen	cregeen:aittys	anticness, fun, &c
aittys.n#2	aittys.n	cregeen	cregeen:e haittys	her, &c
amylt.v#1	amylt.v	cregeen	cregeen:amylt	swim;
amylt.v#2	amylt.v	cregeen	cregeen:gamylt	swimming,, and perhaps a better word than snaue, which we make use of
annoonid.n#1	annoonid.n	cregeen	cregeen:annoonid	frailty;
annoonid.n#2	annoonid.n	cregeen	cregeen:e hannoonid	her weakness
arpin.n#1	arpin.n	cregeen	cregeen:arpin	an apron;, I have written this word as it is spoken
arpin.n#2	arpin.n	cregeen	cregeen:arpin	the herb orpine;
arr.v#1	arr.v	cregeen	cregeen:arr	offer;
arr.v#2	arr.v	cregeen	cregeen:arr	shift, remove, flit;
n'arr.v#1	n'arr.v	cregeen	cregeen:cha n'arr	not offer;
n'arr.v#2	n'arr.v	cregeen	cregeen:cha n'arr	not shift;
n'arr.v#3	n'arr.v	cregeen	cregeen:cha n'arr	not last;
arral.v#1	arral.v	cregeen	cregeen:garral	offering to give, proffering
arral.v#2	arral.v	cregeen	cregeen:dy arral	to offer, or press on
arrey.n#1	arrey.n	cregeen	cregeen:arrey	a watch
arrey.n#2	arrey.n	cregeen	cregeen:arrey	a cistern, a mill-race:
attey.n#1	attey.n	cregeen	cregeen:attey	chapiter
attey.n#2	attey.n	cregeen	cregeen:attey	a crown;
atteeyn.n#1	atteeyn.n	cregeen	cregeen:atteeyn	chapiters
atteeyn.n#2	atteeyn.n	cregeen	cregeen:atteeyn	crowns
