flag	senseId	entryPath	gloss
	ceabbagh.a#1	cregeen:ceabbagh	(or cabbagh, as it is usually sounded), claddy, full of clods, or small masses of earth;
single-id-attach	ceabbagh.a#2	cregeen:ceabbagh	land is so called the second year after being ploughed,, from lea; perhaps in consequence of its rising in clods

single-id-attach	custhee.a#1	cregeen:custhee	whip, beat with a rod;
	custhee.a#2	cregeen:custhee	of whipping or whippings

	goan.a#1	cregeen:goan	scarce, rare, hard to be had;, it is the latter spelling which is in the prayer book;
single-id-attach	goan.a#2	cregeen:goan	words., There are scarcely any two words in the Manks that mean exactly the same thing. Focklyn is nearly syn. with this, but focklyn only means a few words; goan means a series of words, a continuation of words, speech;

single-id-attach	jeh.x#1	cregeen:yeh	of;
	jeh.x#2	cregeen:jeh	of; adv. off; of him

single-id-attach	lhieu.x#1	cregeen:lhieu	with them, theirs;
single-id-attach	lhieu.x#2	cregeen:lhieu	with you or ye, yours;

single-id-attach	seihlltee.n#1	cregeen:seihlltee	the comp. and sup. of seihlltagh.
	seihlltee.n#2	cregeen:seihlltee	worldlings

	surranssee.a#1	cregeen:surranssee	more or most able to suffer
single-id-attach	surranssee.a#2	cregeen:surranssee	sufferers

	trooid.x#1	cregeen:trooid	through, from one end or side to the other
single-id-attach	trooid.x#2	cregeen:ny hrooid	through him, throughout;; through him;

single-id-attach	ynsit.x#1	cregeen:ynsit	learned, taught
	ynsit.x#2	cregeen:dy ynsit	learnedly

	aittys.n#1	cregeen:aittys	anticness, fun, &c
	aittys.n#2	cregeen:e haittys	her, &c

	amylt.v#1	cregeen:amylt	swim;
	amylt.v#2	cregeen:gamylt	swimming,, and perhaps a better word than snaue, which we make use of

	annoonid.n#1	cregeen:annoonid	frailty;
	annoonid.n#2	cregeen:e hannoonid	her weakness

	arral.v#1	cregeen:garral	offering to give, proffering
	arral.v#2	cregeen:dy arral	to offer, or press on

	baareyder.n#1	cregeen:baareyder	a spender
	baareyder.n#2	cregeen:baareyder	a person who makes bare

	baarney.n#1	cregeen:baarney	See barney.
	baarney.n#2	cregeen:yn vaarney	the breach or gap

	baasoil.a#1	cregeen:baasoil	deadly, deathlike, fatal;
	baasoil.a#2	cregeen:feer vaasoil	very deathly or deadly

	bab.n#2	cregeen:nyn mab	your, &c. baby

	banglaneagh.a#1	cregeen:banglaneagh	having many boughs
	banglaneagh.a#2	cregeen:feer vanglaneagh	very full of boughs

	barrantys.n#1	cregeen:e varrantys	See varantys.
	barrantys.n#2	cregeen:nyn marrantys	your, &c. confidence, warrantry

	bart.n#1	cregeen:bart	a burthen, load
	bart.n#2	cregeen:e vart	his burden

	beagh.v#1	cregeen:veagh	would be, were, wert, wouldst
	beagh.v#2	cregeen:beagh	would be, should be

	beaghey.v#1	cregeen:er veaghey	hath, &c. fed
	beaghey.v#2	cregeen:er veaghey	hath, &c. lived, dwelt

	bhullught.n#1	cregeen:bhullught	the herb mayflower
	bhullught.n#2	cregeen:yn vhullught	the may flower

	bhuttag.n#1	cregeen:bhuttag	shorter furrows than other parts of the field; a gusset;
	bhuttag.n#2	cregeen:yn vhuttag	the gusset or goar in ploughing

	binjean.n#1	cregeen:binjean	milk turned to crud with rennet, crudled in haste with rennet
	binjean.n#2	cregeen:yn vinjean	the curds and whey, the curded milk

	bioee.v#1	cregeen:bioee	enliven
	bioee.v#2	cregeen:vioee	did quicken or vivify

	bioghey.v#1	cregeen:bioghey	enlivening, quickening
	bioghey.v#2	cregeen:dy vioghey	to quicken or animate, to enliven or vivify

	blockan.n#1	cregeen:blockan	a pollock fish;
	blockan.n#2	cregeen:yn vlockan	See blockan.

	blouse.n#1	cregeen:blouse	a slovenly woman
	blouse.n#2	cregeen:yn vlouse	the blowse

	boannoo.n#1	cregeen:boannoo	a well nursed pig after being weaned, a half grown pig;
	boannoo.n#2	cregeen:yn voannoo	the partly reared pig

	boirane.n#1	cregeen:boirane	a clamorous fellow
	boirane.n#2	cregeen:yn woirane	the troublesome one

	boiranys.n#1	cregeen:boiranys	balderdash, brawl, bother, troublesomeness, tumult, the effects of being wrong in the head
	boiranys.n#2	cregeen:e woiranys	his trouble, harassing

	bolvane.n#1	cregeen:bolvane	a numskull, a blockhead;
	bolvane.n#2	cregeen:yn volvane	the stupid person, the dolthead, the person dull of apprehension

	booiagh.a#1	cregeen:booiagh	willing, content, satisfied.
	booiagh.a#2	cregeen:feer wooiagh	very willing or pleased

	branlaadee.n#1	cregeen:branlaadee	raving
	branlaadee.n#2	cregeen:e vranlaadee	his ravings

	branlaadys.n#1	cregeen:branlaadys	the action of raving
	branlaadys.n#2	cregeen:e vranlaadys	his ravings

	brasn.v#1	cregeen:brasn	provoke, insult, excite to anger;
	brasn.v#2	cregeen:vrasn	did provoke, stimulate, or affront, did exasperate;

	breimeyder.n#1	cregeen:breimeyder	a breaker of wind
	breimeyder.n#2	cregeen:yn vreimeyder	the farter

	brishey.v#1	cregeen:brishey	breaking
	brishey.v#2	cregeen:er vrishey	hath, &c., broke or broken

	broigheyder.n#1	cregeen:broigheyder	a person who spoils with dirt;
	broigheyder.n#2	cregeen:yn vroigheyder	the dirtier

	brynnagh.a#1	cregeen:brynnagh	flattering, smooth or false talk;
	brynnagh.a#2	cregeen:feer vrynnagh	very pert or flatterous

	buggane.n#1	cregeen:buggane	a bug-bear, a browny, a scarecrow, something to frighten;
	buggane.n#2	cregeen:yn vuggane	the bugbear or brownee

	bugogue.n#1	cregeen:bugogue	a buck thorn berry;
	bugogue.n#2	cregeen:yn vugogue	the buckthorn

	bun.n#1	cregeen:bun	the but end, the bottom end, the best part, the meaning;
	bun.n#2	cregeen:nyn mun	your, &c. See bun

	caag.n#1	cregeen:caag	a forelock;
	caag.n#2	cregeen:caag	a stopper, an attached linchpin;

	cadjinys.n#1	cregeen:cadjinys	common custom, vulgarity
	cadjinys.n#2	cregeen:nyn gadjinys	your, &c. commonness

	cheilley.x#2	cregeen:dy cheilley	together, joined

	cronney.n#1	cregeen:cronney	portion, fate, destiny
	cronney.n#2	cregeen:nyn gronney	your, &c. portion, share, allotted share

	currag.n#1	cregeen:currag	a bundle of osiers
	currag.n#2	cregeen:nyn gurrag	your, &c. See currag

	cushag.n#1	cregeen:cushag	ragwort or ragweed. The stem or stalk is called dog's standard; the herb is also called St. Jameswort, seagrum, stagger-wort, stammerwort;
	cushag.n#2	cregeen:nyn gushag	your, &c

	dooney.v#1	cregeen:dooney	shutting, closing, darkening
	dooney.v#2	cregeen:dy ghooney	to shut or close up

	dooraght.n#1	cregeen:dooraght	See dhooraght.
	dooraght.n#2	cregeen:e ghooraght	his perquisite;

	druaight.n#1	cregeen:druaight	a Druid
	druaight.n#2	cregeen:fo ghruaight	under druidism or inchantment

	eebr.v#1	cregeen:eebr	banish, send to exile;
	eebr.v#2	cregeen:deebr	did banish, banished, drove or did drive away with the wind, did compel to quit, expelled, did expel

	elgys.n#1	cregeen:elgys	spite, choler, fierceness
	elgys.n#2	cregeen:e helgys	her malignity

	faag.v#1	cregeen:faag	leave, quit, abandon;
	faag.v#2	cregeen:aag	leave, (from faag);

	faagail.v#1	cregeen:faagail	leaving, quitting, &c
	faagail.v#2	cregeen:er vaagail	hath, &c. left

	faastey.v#1	cregeen:faastey	wringing, pressing the water out
	faastey.v#2	cregeen:er vaastey	hath, &c. wrung

	faikin.v#1	cregeen:faikin	seeing
	faikin.v#2	cregeen:er naikin	hath, &c. seen., This verb and naik and its declinables are not in Scripture; it is vaik which is used on solemn or sacred occasions, but naik in common conversation

	fakin.v#1	cregeen:fakin	seeing, beholding
	fakin.v#2	cregeen:er vakin	hath, &c. seen;

	fardail.n#1	cregeen:fardail	vanity, folly, inanity;
	fardail.n#2	cregeen:dy ardail	of vainness or vanity;, pl. yn, syn.

	fassaghey.v#1	cregeen:fassaghey	feeding
	fassaghey.v#2	cregeen:er vassaghey	hath, &c. fed with grass

	fea.n#1	cregeen:fea	quietness, rest, stillness
	fea.n#2	cregeen:nyn vea	your, &c. quiet, &c

	feer.x#1	cregeen:feer	very, in a great degree
	feer.x#2	cregeen:dy feer	truly, verily, really

	feyshteyder.n#1	cregeen:feyshteyder	a questioner, a inquisitive person
	feyshteyder.n#2	cregeen:yn eyshteyder	the examiner, &c.;

	fliugh.v#1	cregeen:fliugh	id;
	fliugh.v#2	cregeen:cha liugh	not wet;

	foadd.v#1	cregeen:foadd	kindle, light fire;
	foadd.v#2	cregeen:my oadd	if kindle or ignite,

	folmeyder.n#1	cregeen:folmeyder	one who empties
	folmeyder.n#2	cregeen:yn olmeyder	the emptier

	freayll.v#1	cregeen:dreayll	did keep, kept. See dreill
	freayll.v#2	cregeen:freayll	keeping, keepeth, &c., preserving, conserving, &c

	freggyr.v#1	cregeen:cha reggyr	not reply, or not do a required act;
	freggyr.v#2	cregeen:dreggyr	replied, did reply or answer, did respond

	gennal.a#1	cregeen:gennal	cheerful, affable, jovial, having sweet engaging looks
	gennal.a#2	cregeen:feer yennal	very glad, cheerful, free

	gennallys.n#1	cregeen:gennallys	cheerfulness, exhilaration, hilarity, mirth, affability, jocularity
	gennallys.n#2	cregeen:dy yennallys	of joyfulness, gladness

	ghlioonagh.n#1	cregeen:yn ghlioonagh	the &c
	ghlioonagh.n#2	cregeen:yn ghlioonagh	the &c. See glioonagh

	gient.v#1	cregeen:gient	conceive, or become pregnant; form in the mind
	gient.v#2	cregeen:yient	did conceive or conceived;, -agh; &c. -ys

	jeidagh.a#1	cregeen:jeidagh	See jeadagh
	jeidagh.a#2	cregeen:ro yeidagh	too snug and tidy

	jelliuder.n#1	cregeen:jelliuder	one who warps
	jelliuder.n#2	cregeen:e yelliuder	his warper;

	jiargagh.v#1	cregeen:jiargagh	reddening, blushing, becoming red
	jiargagh.v#2	cregeen:dy yiargagh	to redden

	jiargeyder.n#1	cregeen:jiargeyder	one that makes red
	jiargeyder.n#2	cregeen:e yiargeyder	his reddener

	jingeyder.n#1	cregeen:jingeyder	one that presses or throngs
	jingeyder.n#2	cregeen:e yingeyder	his rusher, presser, &c

	jiooldagh.a#1	cregeen:jiooldagh	disgustful, cloyish, raising an aversion or nauseousness in the stomach, raising dislike by some offensive action
	jiooldagh.a#2	cregeen:ro yiooldagh	too cloyish or apt to turn on the stomach

	jiooldey.v#1	cregeen:jiooldey	loathing, causing satiety, disgusting, causing a nauseous dislike, thrusting out;
	jiooldey.v#2	cregeen:dy yiooldey	to discard or cast off, to dismiss on account of disgust or aversion

	jooigh.a#1	cregeen:jooigh	this and jollyssagh are nearly syn. but with this difference, that jooigh is only to be applied to eagerness of appetite, jollyssagh to that and all other intemperate desires
	jooigh.a#2	cregeen:ro yooigh	too greedy. See jooigh

	jymmoosagh.a#1	cregeen:jymmoosagh	wrath, indignant, inflamed with anger, furious, raging
	jymmoosagh.a#2	cregeen:ro yymmoosagh	too wroth or wrathful, angry

	keayney.v#1	cregeen:keayney	crying, weeping
	keayney.v#2	cregeen:er cheayney	hath, &c. cried,

	kenjal.a#1	cregeen:kenjal	kind, benevolent, mellow
	kenjal.a#2	cregeen:feer chenjal	very kindly, or mellow

	khyr.n#1	cregeen:khyr	knots
	khyr.n#2	cregeen:khyr	cars

	kialgeyrys.n#1	cregeen:kialgeyrys	subtleness, craftiness, deceitfulness
	kialgeyrys.n#2	cregeen:e chialgeyrys	his hypocrisy or subtlety

	kiangley.v#1	cregeen:kiangley	binding, tying, astringent
	kiangley.v#2	cregeen:dy chiangley	to bind, tie, or make costive
	kiangley.v#3	cregeen:er giangley	hath, &c. tied or bound

	kiaullaneyder.n#1	cregeen:kiaullaneyder	a bellman, a crier;
	kiaullaneyder.n#2	cregeen:yn chiaullaneyder	the bell-man

	kred.n#1	cregeen:kred	a grunt, a hem, the act of discharging the breath with force; a sigh is made by drawing in the breath, this by forcing it out, a weak cough
	kred.n#2	cregeen:yn chred	the hem, &c. See kred

	kyr.n#1	cregeen:kyr	See khyr
	kyr.n#2	cregeen:dy chyr	of knots

	manninagh.n#1	cregeen:Manninagh	a native of Man or Mona;
	manninagh.n#2	cregeen:dy Vanninagh	of a Manks person;

	martarys.n#1	cregeen:martarys	crippleness
	martarys.n#2	cregeen:e vartarys	his decrepitude

	mastey.v#1	cregeen:mastey	mixing, stirring, churning
	mastey.v#2	cregeen:dy vastey	to mix or stir together

	meein.v#1	cregeen:meein	tame, assuage, abate;
	meein.v#2	cregeen:veein	did tame; make fine, small, or smooth;

	meekagh.a#1	cregeen:meekagh	a person is said to be so that keeps his eye lashes nearly closed
	meekagh.a#2	cregeen:ro veekagh	too meek eyed

	meenaghey.v#1	cregeen:meenaghey	getting patient, mild, &c
	meenaghey.v#2	cregeen:er veenaghey	hath, &c. abated, allayed, moderated, &c

	mhioyr.n#1	cregeen:mhioyr	the sense of feeling and touch acuteness of feeling, &c
	mhioyr.n#2	cregeen:e vhioyr	his feeling or use of faculties

	mhioyral.a#1	cregeen:mhioyral	having the power and sense of feeling, and the use of the members
	mhioyral.a#2	cregeen:feer vhioyral	very acute of feeling

	mholmid.n#1	cregeen:mholmid	friableness, mellowness
	mholmid.n#2	cregeen:e vholmid	his friability

	mimmey.n#1	cregeen:mimmey	a godmother;
	mimmey.n#2	cregeen:dty vimmey	thy female sponsor at the font

	moanagh.a#1	cregeen:moanagh	of or belonging to turf
	moanagh.a#2	cregeen:feer voanagh	very turfy

	molgagh.a#1	cregeen:molgagh	having milt or milts
	molgagh.a#2	cregeen:feer volgagh	very milty

	molleyder.n#1	cregeen:molleyder	one who disappoints
	molleyder.n#2	cregeen:yn volleyder	the disappointer

	mooaraghey.v#1	cregeen:mooaraghey	grudging, seeing too great for others to enjoy
	mooaraghey.v#2	cregeen:dy wooaraghey	to begrudge

	mooareyder.n#1	cregeen:mooareyder	one who grudges
	mooareyder.n#2	cregeen:yn vooareyder	the grudger

	mooidjeenagh.a#1	cregeen:mooidjeenagh	behaving as a miscreant or outlawed person
	mooidjeenagh.a#2	cregeen:feer vooidjeenagh	See mooidjeenagh.

	mooidjeenys.n#1	cregeen:mooidjeenys	miscreancy;
	mooidjeenys.n#2	cregeen:e wooidjeenys	his outlawry

	nee.v#1	cregeen:cha nee	is not, will not, not as;
	nee.v#2	cregeen:dy nee	that is, that were, that was. Dy re is used for this word in common conversation, which see
	nee.v#3	cregeen:nee	will or wilt, will or wilt do

	ooashlaghey.v#1	cregeen:gooashlaghey	worshipping
	ooashlaghey.v#2	cregeen:dy ooashlaghey	to worship, to do homage
