senseId	lemmaId	dict	entryPath	gloss
foddey.a#1	foddey.a	cregeen	cregeen:foddey	far, at a great distance
foddey.a#2	foddey.a	cregeen	cregeen:foddey	long, of time
aarey.n#1	aarey.n	cregeen	cregeen:aarey	a kidney
aarey.n#2	aarey.n	cregeen	cregeen:aarey	a ladder
aggindys.n#1	aggindys.n	cregeen	cregeen:aggindys	fondness, eagerness, eager desire
aggindys.n#2	aggindys.n	cregeen	cregeen:e haggindys	her willingness
agh.x#1	agh.x	cregeen	cregeen:agh	but
agh.x#2	agh.x	cregeen	cregeen:agh	-ing, -ly, -ous, &c., when used as a postfix in composition means
saill.v#1	saill.v	cregeen	cregeen:cha naill	not wish
saill.v#2	saill.v	cregeen	cregeen:saill	salt;
arpin.n#1	arpin.n	cregeen	cregeen:arpin	an apron;, I have written this word as it is spoken
arpin.n#2	arpin.n	cregeen	cregeen:arpin	the herb orpine;
arr.v#1	arr.v	cregeen	cregeen:arr	offer;
arr.v#2	arr.v	cregeen	cregeen:arr	shift, remove, flit;
n'arr.v#1	n'arr.v	cregeen	cregeen:cha n'arr	not offer;
n'arr.v#2	n'arr.v	cregeen	cregeen:cha n'arr	not shift;
n'arr.v#3	n'arr.v	cregeen	cregeen:cha n'arr	not last;
arrey.n#1	arrey.n	cregeen	cregeen:arrey	a watch
arrey.n#2	arrey.n	cregeen	cregeen:arrey	a cistern, a mill-race:
attey.n#1	attey.n	cregeen	cregeen:attey	chapiter
attey.n#2	attey.n	cregeen	cregeen:attey	a crown;
atteeyn.n#1	atteeyn.n	cregeen	cregeen:atteeyn	chapiters
atteeyn.n#2	atteeyn.n	cregeen	cregeen:atteeyn	crowns
baa.n#1	baa.n	cregeen	cregeen:baa	a buss, a salutation with the lips
baa.n#2	baa.n	cregeen	cregeen:yn vaa	the cow or cattle
bhir.n#1	bhir.n	cregeen	cregeen:e vhir	his crops
bhir.n#2	bhir.n	cregeen	cregeen:bhir	spits, the pl. of bher
baarit.x#1	baarit.x	cregeen	cregeen:baarit	spent
baarit.x#2	baarit.x	cregeen	cregeen:baarit	made bare
bare.x#1	bare.x	cregeen	cregeen:vare	See vaare.
bare.x#2	bare.x	cregeen	cregeen:ny bare	better
bab.n#1	bab.n	cregeen	cregeen:bab	a babe;
bab.n#3	bab.n	cregeen	cregeen:bab	a lappet of the ear in marking sheep;
banee.a#1	banee.a	cregeen	cregeen:banee	whiteish
banee.a#2	banee.a	cregeen	cregeen:banee	binding;
bardoon.n#1	bardoon.n	cregeen	cregeen:bardoon	a doleful song
bardoon.n#2	bardoon.n	cregeen	cregeen:nyn bardoon	your, &c. pardon
barrey.n#1	barrey.n	cregeen	cregeen:barrey	a bar, a bolt;
barrey.n#2	barrey.n	cregeen	cregeen:barrey	a barrow;
beagh.v#3	beagh.v	cregeen	cregeen:beagh	feed;
beagh.v#4	beagh.v	cregeen	cregeen:veagh	did or didst live;; did dwell or inhabit;
vea.n#1	vea.n	cregeen	cregeen:yn vea	the life time
vea.n#2	vea.n	cregeen	cregeen:vea	ado; as,
