form	headword	listId	gloss	binomial	note
ollyssyn	Ollyssyn	morrison-plants	Alexanders	Smyrnium olusatrum	
lus yn ollee	Lus-yn-ollee	morrison-plants	Alexanders	Smyrnium olusatrum	
lusynollee	Lus-yn-ollee	morrison-plants	Alexanders	Smyrnium olusatrum	
lus ny geayee	Lus-ny-Geayee	morrison-plants	Anemome (wood)	Anemone nemorosa	the page prints 'Anemome (wood)'; read 'Anemone (wood)'
lusnygeayee	Lus-ny-Geayee	morrison-plants	Anemome (wood)	Anemone nemorosa	the page prints 'Anemome (wood)'; read 'Anemone (wood)'
ooyl	Ooyl	morrison-plants	Apple	Pyrus malus	
unjin	Unjin	morrison-plants	Ash	Fraxinus excelsior	
keirn	Keirn	morrison-plants	Ash (mountain)	Pyrus aucuparia	
cron craee	Cron-craee	morrison-plants	Aspen	Populus tremula	
croncraee	Cron-craee	morrison-plants	Aspen	Populus tremula	
chengey ny mraane	Chengey-ny-mraane	morrison-plants	Aspen	Populus tremula	
chengeynymraane	Chengey-ny-mraane	morrison-plants	Aspen	Populus tremula	
oarn	Oarn	morrison-plants	Barley	Hordeum	
poanrey	Poanrey	morrison-plants	Bean	Faba vulgaris	
crouw kayt	Crouw-kayt	morrison-plants	Bird’s foot trfoil	Lotus dulcamara	the page prints 'Bird’s foot trfoil'; read 'Bird’s foot trefoil'
crouwkayt	Crouw-kayt	morrison-plants	Bird’s foot trfoil	Lotus dulcamara	the page prints 'Bird’s foot trfoil'; read 'Bird’s foot trefoil'
croan reisht	Croan-reisht	morrison-plants	Bitter-sweet	Solanum dulcamara	
croanreisht	Croan-reisht	morrison-plants	Bitter-sweet	Solanum dulcamara	
crammeltyn	Crammeltyn	morrison-plants	Bitter vetch	Orobus tuberosus	always plural
smeyr	Smeyr	morrison-plants	Blackberry (bramble)		
farrane	Farrane	morrison-plants	Blaeberry (whortleberry)	Vaccinum myrtillus	
freoaghne gorrym	Freoaghne gorrym	morrison-plants	Blaeberry (whortleberry)	Vaccinum myrtillus	
freoaghnegorrym	Freoaghne gorrym	morrison-plants	Blaeberry (whortleberry)	Vaccinum myrtillus	
lubber lub	Lubber lub	morrison-plants	Bog-bean	Menyanthes trifoliata	
lubberlub	Lubber lub	morrison-plants	Bog-bean	Menyanthes trifoliata	
luss y three duillag	Luss-y-three duillag	morrison-plants	Bog-bean	Menyanthes trifoliata	
lussythreeduillag	Luss-y-three duillag	morrison-plants	Bog-bean	Menyanthes trifoliata	
lus roddagagh	Lus roddagagh	morrison-plants	Bog-myrtle	Myrica gale	
lusroddagagh	Lus roddagagh	morrison-plants	Bog-myrtle	Myrica gale	
dress	Dress	morrison-plants	Brambe	Rubus fruticosus	the page prints 'Brambe'; read 'Bramble'
burleek	Burleek	morrison-plants	Brook-lime	Veronica beccabunga	
guilcaugh	Guilcaugh	morrison-plants	Broom	Cyrisus scoparius	
bollan vreeshey	Bollan Vreeshey	morrison-plants	Buckshorn plantain	Plantago coronopus	
bollanvreeshey	Bollan Vreeshey	morrison-plants	Buckshorn plantain	Plantago coronopus	
bollan doo	Bollan-doo	morrison-plants	Burdock	Arctium lappa	
